,Director_Avg_Movie_Revenue,Keywords_Avg_Revenue,Studios_Avg_Movie_Revenue,Lead_Actor_Avg_Movie_Revenue,Budget,Class
1028,62354590.38,131073174.74,140049103.32,278558785.33,40000000.0,0
1029,0.0,33098184.29,68539498.13,29529022.64,40000000.0,0
1030,108177196.67,81013906.2,127244120.67,64778140.2,36547234.16992855,1
1031,78726551.0,74556409.11,108151909.39,127171535.8,40000000.0,1
1032,137074624.8,89591687.72,240391413.63,127171535.8,40000000.0,1
1033,76479428.1,64235153.27,58846779.42,88107905.14,40000000.0,1
1034,76681436.0,45183758.18,100443131.45,92944117.75,38000000.0,0
1035,90641122.5,100551610.87,141397099.99,173075277.64,40000000.0,1
1036,159244918.5,97292517.46,153336510.17,157887643.0,40000000.0,1
1037,65390691.67,55368302.52,96547484.89,119992431.0,40000000.0,1
1038,109094252.5,66807685.2,88661136.91,64778140.2,30000000.0,1
1039,60225163.25,45286054.6,127554252.11,145605792.33,40000000.0,0
1040,255463634.33,0.0,100188374.22,0.0,40000000.0,0
1041,48063435.0,136529434.09,144695944.19,58206792.2,25000000.0,1
1042,69955000.33,84600134.22,135363789.21,55247881.0,40000000.0,1
1043,76860472.0,66725115.27,200438202.09,107098695.5,40000000.0,1
1044,42754405.67,49733006.19,82555351.98,46442528.0,40000000.0,1
1045,30199105.0,49563647.71,81257876.29,82187962.33,40000000.0,0
1046,235138608.86,69983707.83,127580256.95,31670620.0,40000000.0,0
1047,134000895.17,60339359.14,92415792.67,0.0,40000000.0,0
1048,7250000.0,103145044.28,90588272.44,56487931.82,40000000.0,0
1049,45265583.0,131583847.09,115954748.5,101431396.67,40000000.0,1
1050,65754228.0,87538979.33,96547484.89,165619830.07,40000000.0,1
1051,70643831.8,37255698.64,92145797.93,58647464.5,40000000.0,1
1052,100515768.63,21449018.88,3000000.0,8830503.5,500000.0,1
1053,79800797.75,56381876.0,62170464.49,28996862.0,40000000.0,0
1054,27656991.25,11263757.87,76182865.61,92944117.75,60000000.0,0
1055,23273098.5,80169558.52,172154480.93,46546197.0,40000000.0,1
1056,41282201.75,71778630.89,97652397.8,51830812.08,40000000.0,0
1057,47651893.25,137684308.14,62878592.75,29966891.0,40000000.0,1
1058,28357073.5,38336359.33,177287506.46,4925805.0,40000000.0,0
1059,28868617.33,44150330.72,65254456.74,147844908.88,40000000.0,0
